24-HOUR MAN/EMMANUEL	FROST, CARMILLA	KILLRAVEN/JONATHAN R	M'SHULLA
3-D MAN/CHARLES CHAN	ANGEL/WARREN KENNETH	ANT-MAN II/SCOTT HAR	AURORA/JEANNE-MARIE 	BLACK PANTHER/T'CHAL	BLACK WIDOW/NATASHA 	CAGE, LUKE/CARL LUCA	CAPTAIN AMERICA	COLLECTIVE MAN	CRYSTAL [INHUMAN]	CYCLOPS/SCOTT SUMMER	DARKSTAR/LAYNIA SERG	DEFENSOR	DR. DRUID/ANTHONY LU	DR. STRANGE/STEPHEN 	GORILLA-MAN	HAWK	HUMAN ROBOT	IGOR	IKARIS/IKE HARRIS [E	INVISIBLE WOMAN/SUE 	JACK OF HEARTS/JACK 	JONES, RICHARD MILHO	KARNAK [INHUMAN]	LOBO	LOCKJAW [INHUMAN]	MARVEL BOY III/ROBER	MIKHLO	MOCKINGBIRD/DR. BARB	NORRISS, SISTER BARB	PHARAOH RAMA-TUT	PROFESSOR X/CHARLES 	QUICKSILVER/PIETRO M	SABRA/RUTH BAT-SERAP	SASQUATCH/WALTER LAN	SCARLET WITCH/WANDA 	SHADOWCAT/KATHERINE 	SHE-HULK/JENNIFER WA	SHROUD/MAXIMILLIAN Q	SLOAN, FRED	THING/BENJAMIN J. GR	TORPEDO III/BROCK JO	URSA MAJOR/MIKHAIL U	VENUS II	WHIZZER/ROBERT L. FR
4-D MAN/MERCURIO	BALDER [ASGARDIAN]	BALLANTINE, KAYLA	CAPTAIN AMERICA	CAPTAIN MARVEL/CAPTA	DEMONSTAFF	DRAGONFLY/VERONICA D	EON	FANDRAL [ASGARDIAN]	FERRARI, CONNIE	FURY, COL. NICHOLAS 	GRANT, SILAS	GREY GARGOYLE/PAUL P	HEIMDALL [ASGARDIAN]	HILDEGARDE [ASGARDIA	HOGUN [ASGARDIAN]	IRON MAN/TONY STARK 	JAMESON, J. JONAH	KARNILLA [ASGARDIAN]	LOKI [ASGARDIAN]	MOONDRAGON/HEATHER D	ODIN [ASGARDIAN]	OVERMIND/GROM	SIF	STRANGER	TANA NILE	THOR IV/DARGO	THOR/DR. DONALD BLAK	TYRUS	VOLSTAGG	ZARRKO, ARTHUR
8-BALL/	BAYLOR, FRANK	CONOVER, ALYSSA	MCMURRAY, YVONNE	RAMBO	SHERIDAN, RICHARD RI	SLEEPWALKER
A	BLOK	MR. X	NIGHTCRAWLER/KURT WA	ROGUE /	SABRETOOTH/VICTOR CR	T
A'YIN	BARAK	CAPTAIN BRITAIN/BRIA	COLOSSUS II/PETER RA	MEGGAN	NIGHTCRAWLER/KURT WA	RA'AL	SHADOWCAT/KATHERINE 	SPIRAL	WISDOM, PETER	WOLFSBANE/RAHNE SINC	XIANDU
ABBOTT, JACK	COPPERHEAD IV/	DAREDEVIL/MATT MURDO	GLADIATOR/MELVIN POT	KINGPIN/WILSON FISK	OWL/LELAND OWLSLEY	STILT-MAN/WILBUR DAY
ABCISSA	ALBERT	BEAST/HENRY &HANK& P	ELSIE DEE	FURY, COL. NICHOLAS 	GAMBIT/REMY LEBEAU 	GATEWAY	HUNTER IN DARKNESS	JUBILEE/JUBILATION L	MOJO	MR. FANTASTIC/REED R	MYSTIQUE/RAVEN DARKH	SPIRAL	THING/BENJAMIN J. GR	WOLVERINE/LOGAN 
ABEL	BAKER	BEDLAM/JESSE AARONSO	BOOMER/TABITHA SMITH	CANNONBALL II/SAM GU	CHARLIE	DOMINO III/BEATRICE/	THUNDERBIRD II/JAMES	TRAVELER	TSUNG, MARCUS	WISDOM, PETER	WISDOM, ROMANY
ABOMINATION | MUTANT	ABSORBING MAN | MUTA	BROTHER VOODOO | MUT	DAREDEVIL | MUTANT X	DEVIL DINOSAUR | MUT	DR. STRANGE | MUTANT	DRACULA | MUTANT X-V	DRAX | MUTANT X-VERS	FIN FANG FOOM | MUTA	HOGUN | MUTANT X-VER	HULK | MUTANT X-VERS	ICE-MAN | MUTANT X-V	IRON FIST | MUTANT X	MAN-SPIDER | MUTANT 	MOON KNIGHT | MUTANT	NAMORITA | MUTANT X-	POLARIS | MUTANT X-V	RAVEN | MUTANT X-VER	STINGRAY | MUTANT X-	SUB-MARINER | MUTANT	SUMMERS, SCOTT III |	THOR | MUTANT X-VERS	VALKYRIE II | MUTANT	VOLSTAGG | MUTANT X-	WOLVERINE | MUTANT X
ABOMINATION/EMIL BLO	ACHILLES II/HELMUT	ANDROMEDA/ANDROMEDA 	ANGEL/WARREN KENNETH	ANT-MAN/DR. HENRY J.	ARMBRUSTER, COLONEL 	ARMSTRONG, MYRA	ATALANTA	BANNER, BETTY ROSS T	BEAST/HENRY &HANK& P	BEREET	BUX	CALLISTO	CHALMERS, CYNTHIA	CHALMERS, JUDGE ROBE	COLOSSUS II/PETER RA	CUSHING, KATE	CYBERSLIK	CYCLOPS/SCOTT SUMMER	DARK CRAWLER	DEANGELO, DEVLIN	DOC SAMSON/DR. LEONA	DORNOVA-BLONSKY, NAD	EENY	ELECTRO/MAX DILLON	FALCON/SAM WILSON	FIREBIRD/BONITA JUAR	GHAUR [DEVIANT]	GREY GARGOYLE/PAUL P	HAVOK/ALEX SUMMERS 	HAWK	HECTOR II	HOTSHOT/LOUIS	HULK/DR. ROBERT BRUC	INVISIBLE WOMAN/SUE 	IRON MAN/TONY STARK 	IRONCLAD	JACK OF HEARTS/JACK 	JAILBAIT/JESS	JAMESON, J. JONAH	JONES, MARLO CHANDLE	JONES, RICHARD MILHO	KENT, CLARK	KINGPIN/WILSON FISK	LEADER/SAM STERNS	LIBRITO	LIPSCOMB, DR. ANGELA	LLYRA/LLYRA MORRIS	LOCUST	MADMAN/PHIL STERNS	MAGGOTT/JAPHETH	MARITA	MARROW/SARAH 	MEANY	MERCADO, JOY	MO	MOCKINGBIRD/DR. BARB	MODOK/GEORGE TARLETO	MOK	MORGAN, DR. VIVIAN	NIGHTCRAWLER/KURT WA	NORRISS, SISTER BARB	OGRESS/	PARIS	PO	PROFESSOR X/CHARLES 	PSYLOCKE/ELISABETH B	QNAX	QUARRY	QUARTERMAIN, CLAY	RAHN, TAMARA	RED WOLF III/WILL TA	REDEEMER/CRAIG SAUND	REYES, DR. CECELIA	RHINO	RICHARDS, FRANKLIN B	ROCK/SAMUEL JOHN ROC	ROGUE /	ROSS, GEN. THADDEUS 	ROUST	SANDY	SASQUATCH/WALTER LAN	SCARLET WITCH/WANDA 	SET	SHE-HULK/JENNIFER WA	SHULK	SILVER SURFER/NORRIN	SLEEK	SPAR, DR. KATHERINE 	STINGRAY/DR. WALTER 	STORM/ORORO MUNROE S	STRANGER	SUB-MARINER/NAMOR MA	TALBOT, GLENN	THOR/DR. DONALD BLAK	THUNDERSTRIKE/ERIC K	TORGO	TRITON	TYRANNUS	VAPOR	VECTOR	WATSON-PARKER, MARY 	WATTS	WILSON, JIM	WOLVERINE/LOGAN 	WONDER MAN/SIMON WIL	X-MAN/NATHAN GREY 
